Date,Historical Adj Close,Volume,Daily New Cases,ROE,ROA,PM,EPS,Adj Close
2011-05--02 00:00:00,13.699392,29273746,0,2.9854,2.0691,18.696,0.36,13.54239
2011-05--03 00:00:00,13.687315,22699829,0,2.9854,2.0691,18.696,0.36,13.502134
2011-05--04 00:00:00,13.844316,13769395,0,2.9854,2.0691,18.696,0.36,13.288773
2011-05--05 00:00:00,13.54239,21584059,0,2.9854,2.0691,18.696,0.36,13.155925
2011-05--06 00:00:00,13.502134,18519257,0,2.9854,2.0691,18.696,0.36,13.172028
2011-05--09 00:00:00,13.288773,26114141,0,2.9854,2.0691,18.696,0.36,13.333056
2011-05--10 00:00:00,13.155925,18237226,0,2.9854,2.0691,18.696,0.36,13.659134
2011-05--11 00:00:00,13.172028,34595986,0,2.9854,2.0691,18.696,0.36,13.409543
2011-05--12 00:00:00,13.333056,24948000,0,2.9854,2.0691,18.696,0.36,13.518235
2011-05--13 00:00:00,13.659134,19720800,0,2.9854,2.0691,18.696,0.36,13.514211
2011-05--16 00:00:00,13.409543,15441624,0,2.9854,2.0691,18.696,0.36,13.031129
2011-05--17 00:00:00,13.518235,17406576,0,2.9854,2.0691,18.696,0.36,13.143848
2011-05--18 00:00:00,13.514211,15842455,0,2.9854,2.0691,18.696,0.36,13.23644
2011-05--19 00:00:00,13.031129,13767970,0,2.9854,2.0691,18.696,0.36,13.244491
2011-05--20 00:00:00,13.143848,11340173,0,2.9854,2.0691,18.696,0.36,13.075411
2011-05--23 00:00:00,13.23644,16473046,0,2.9854,2.0691,18.696,0.36,12.733229
2011-05--24 00:00:00,13.244491,21384000,0,2.9854,2.0691,18.696,0.36,12.407148
2011-05--25 00:00:00,13.075411,32037746,0,2.9854,2.0691,18.696,0.36,12.35884
2011-05--26 00:00:00,12.733229,39816295,0,2.9854,2.0691,18.696,0.36,12.342739
2011-05--27 00:00:00,12.407148,28145146,0,2.9854,2.0691,18.696,0.36,12.35079
2011-05--31 00:00:00,12.35884,16574501,0,2.9854,2.0691,18.696,0.36,12.548045
2011-06--01 00:00:00,12.342739,22324421,0,2.9854,2.0691,18.696,0.36,12.334686
2011-06--02 00:00:00,12.35079,24648862,0,2.9854,2.0691,18.696,0.36,12.592329
2011-06--03 00:00:00,12.548045,37590934,0,2.9854,2.0691,18.696,0.36,12.197813
2011-06--06 00:00:00,12.334686,29185596,0,2.9854,2.0691,18.696,0.36,11.899912
2011-06--07 00:00:00,12.592329,29411316,0,2.9854,2.0691,18.696,0.36,12.044837
